Mod:Item:MetaData, Localized Name
appliedenergistics2:item.ItemFacade:0, Cable Facade - Bitumen Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Potash Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sulfur Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Phosphorite Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Saltpeter Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Magnesium Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Bitumen Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Potash Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Gold Brick
appliedenergistics2:item.ItemFacade:0, Cable Facade - Iron Brick
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Charcoal
appliedenergistics2:item.ItemFacade:0, Cable Facade - High Explosives
appliedenergistics2:item.ItemFacade:0, Cable Facade - Light Explosives
appliedenergistics2:item.ItemFacade:0, Cable Facade - Miners Explosives
appliedenergistics2:item.ItemFacade:0, Cable Facade - Death Explosives
appliedenergistics2:item.ItemFacade:0, Cable Facade - Precision Explosives
appliedenergistics2:item.ItemFacade:0, Cable Facade - tile.metallurgy.tab2.block.name
appliedenergistics2:item.ItemFacade:0, Cable Facade - Fairy Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Pokefennium Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - RedAurum Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Osmium Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Copper Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Tin Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - §8Black Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §cRed Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §2Green Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §6Brown Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §1Blue Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §5Purple Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §3Cyan Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §7Light Grey Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §8Grey Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §dPink Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §aLime Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §eYellow Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §9Light Blue Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §dMagenta Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §6Orange Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §fWhite Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §8Black Slick Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §cRed Slick Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §2Green Slick Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §6Brown Slick Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §1Blue Slick Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §5Purple Slick Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §3Cyan Slick Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §7Light Grey Slick Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §8Grey Slick Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §dPink Slick Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §aLime Slick Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §eYellow Slick Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §9Light Blue Slick Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §dMagenta Slick Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §6Orange Slick Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §fWhite Slick Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §8Black Plastic Glow Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §cRed Plastic Glow Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §2Green Plastic Glow Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §6Brown Plastic Glow Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §1Blue Plastic Glow Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §5Purple Plastic Glow Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §3Cyan Plastic Glow Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §7Light Grey Plastic Glow Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §8Grey Plastic Glow Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §dPink Plastic Glow Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §aLime Plastic Glow Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §eYellow Plastic Glow Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §9Light Blue Plastic Glow Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §dMagenta Plastic Glow Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §6Orange Plastic Glow Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §fWhite Plastic Glow Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §8Black Reinforced Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §cRed Reinforced Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §2Green Reinforced Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §6Brown Reinforced Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §1Blue Reinforced Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §5Purple Reinforced Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §3Cyan Reinforced Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §7Light Grey Reinforced Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §8Grey Reinforced Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §dPink Reinforced Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §aLime Reinforced Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §eYellow Reinforced Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §9Light Blue Reinforced Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §dMagenta Reinforced Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §6Orange Reinforced Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §fWhite Reinforced Plastic Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - §8Black Plastic Road
appliedenergistics2:item.ItemFacade:0, Cable Facade - §cRed Plastic Road
appliedenergistics2:item.ItemFacade:0, Cable Facade - §2Green Plastic Road
appliedenergistics2:item.ItemFacade:0, Cable Facade - §6Brown Plastic Road
appliedenergistics2:item.ItemFacade:0, Cable Facade - §1Blue Plastic Road
appliedenergistics2:item.ItemFacade:0, Cable Facade - §5Purple Plastic Road
appliedenergistics2:item.ItemFacade:0, Cable Facade - §3Cyan Plastic Road
appliedenergistics2:item.ItemFacade:0, Cable Facade - §7Light Grey Plastic Road
appliedenergistics2:item.ItemFacade:0, Cable Facade - §8Grey Plastic Road
appliedenergistics2:item.ItemFacade:0, Cable Facade - §dPink Plastic Road
appliedenergistics2:item.ItemFacade:0, Cable Facade - §aLime Plastic Road
appliedenergistics2:item.ItemFacade:0, Cable Facade - §eYellow Plastic Road
appliedenergistics2:item.ItemFacade:0, Cable Facade - §9Light Blue Plastic Road
appliedenergistics2:item.ItemFacade:0, Cable Facade - §dMagenta Plastic Road
appliedenergistics2:item.ItemFacade:0, Cable Facade - §6Orange Plastic Road
appliedenergistics2:item.ItemFacade:0, Cable Facade - §fWhite Plastic Road
appliedenergistics2:item.ItemFacade:0, Cable Facade - Salt Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Elevator
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Chamelium
appliedenergistics2:item.ItemFacade:0, Cable Facade - End Stone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Fluorite
appliedenergistics2:item.ItemFacade:0, Cable Facade - Plasma Injector Base
appliedenergistics2:item.ItemFacade:0, Cable Facade - Laser Concentration Lens
appliedenergistics2:item.ItemFacade:0, Cable Facade - Turbine Flywheel Core
appliedenergistics2:item.ItemFacade:0, Cable Facade - Machine Frame
appliedenergistics2:item.ItemFacade:0, Cable Facade - Machine Base
appliedenergistics2:item.ItemFacade:0, Cable Facade - Dimensional Shard Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Dimensional Blank Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Dimensional Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Dimensional Small Blocks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Dimensional Cross Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Dimensional Cross 2 Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Dimensional Pattern 1 Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Dimensional Pattern 2 Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Activity Probe
appliedenergistics2:item.ItemFacade:0, Cable Facade - Destination Analyzer
appliedenergistics2:item.ItemFacade:0, Cable Facade - Matter Booster
appliedenergistics2:item.ItemFacade:0, Cable Facade - Oak Trim
appliedenergistics2:item.ItemFacade:0, Cable Facade - Spruce Trim
appliedenergistics2:item.ItemFacade:0, Cable Facade - Birch Trim
appliedenergistics2:item.ItemFacade:0, Cable Facade - Jungle Trim
appliedenergistics2:item.ItemFacade:0, Cable Facade - Acacia Trim
appliedenergistics2:item.ItemFacade:0, Cable Facade - Dark Oak Trim
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Smokey Quartz
appliedenergistics2:item.ItemFacade:0, Cable Facade - Chiseled Smokey Quartz Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Pillar Smokey Quartz Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Smokey Quartz Slab
appliedenergistics2:item.ItemCrystalSeed:0, Certus Quartz Seed
appliedenergistics2:item.ItemCrystalSeed:600, Nether Quartz Seed
appliedenergistics2:item.ItemCrystalSeed:1200, Fluix Seed
appliedenergistics2:item.ItemCrystalSeed:0, Certus Quartz Seed
appliedenergistics2:item.ItemCrystalSeed:600, Nether Quartz Seed
appliedenergistics2:item.ItemCrystalSeed:1200, Fluix Seed
appliedenergistics2:item.ItemCrystalSeed:0, Certus Quartz Seed
appliedenergistics2:item.ItemCrystalSeed:600, Nether Quartz Seed
appliedenergistics2:item.ItemCrystalSeed:1200, Fluix Seed
appliedenergistics2:item.ItemEncodedPattern, Encoded Pattern
appliedenergistics2:item.ToolColorApplicator, Color Applicator
appliedenergistics2:item.ItemPaintBall:0, Paint Ball - White
appliedenergistics2:item.ItemPaintBall:1, Paint Ball - Orange
appliedenergistics2:item.ItemPaintBall:2, Paint Ball - Magenta
appliedenergistics2:item.ItemPaintBall:3, Paint Ball - Light Blue
appliedenergistics2:item.ItemPaintBall:4, Paint Ball - Yellow
appliedenergistics2:item.ItemPaintBall:5, Paint Ball - Lime
appliedenergistics2:item.ItemPaintBall:6, Paint Ball - Pink
appliedenergistics2:item.ItemPaintBall:7, Paint Ball - Gray
appliedenergistics2:item.ItemPaintBall:8, Paint Ball - Light Gray
appliedenergistics2:item.ItemPaintBall:9, Paint Ball - Cyan
appliedenergistics2:item.ItemPaintBall:10, Paint Ball - Purple
appliedenergistics2:item.ItemPaintBall:11, Paint Ball - Blue
appliedenergistics2:item.ItemPaintBall:12, Paint Ball - Brown
appliedenergistics2:item.ItemPaintBall:13, Paint Ball - Green
appliedenergistics2:item.ItemPaintBall:14, Paint Ball - Red
appliedenergistics2:item.ItemPaintBall:15, Paint Ball - Black
appliedenergistics2:item.ItemPaintBall:20, Paint Ball - Lumen White
appliedenergistics2:item.ItemPaintBall:21, Paint Ball - Lumen Orange
appliedenergistics2:item.ItemPaintBall:22, Paint Ball - Lumen Magenta
appliedenergistics2:item.ItemPaintBall:23, Paint Ball - Lumen Light Blue
appliedenergistics2:item.ItemPaintBall:24, Paint Ball - Lumen Yellow
appliedenergistics2:item.ItemPaintBall:25, Paint Ball - Lumen Lime
appliedenergistics2:item.ItemPaintBall:26, Paint Ball - Lumen Pink
appliedenergistics2:item.ItemPaintBall:27, Paint Ball - Lumen Gray
appliedenergistics2:item.ItemPaintBall:28, Paint Ball - Lumen Light Gray
appliedenergistics2:item.ItemPaintBall:29, Paint Ball - Lumen Cyan
appliedenergistics2:item.ItemPaintBall:30, Paint Ball - Lumen Purple
appliedenergistics2:item.ItemPaintBall:31, Paint Ball - Lumen Blue
appliedenergistics2:item.ItemPaintBall:32, Paint Ball - Lumen Brown
appliedenergistics2:item.ItemPaintBall:33, Paint Ball - Lumen Green
appliedenergistics2:item.ItemPaintBall:34, Paint Ball - Lumen Red
appliedenergistics2:item.ItemPaintBall:35, Paint Ball - Lumen Black
appliedenergistics2:item.ItemMultiMaterial:28, Advanced Card
appliedenergistics2:item.ItemMultiMaterial:44, Annihilation Core
appliedenergistics2:item.ItemMultiMaterial:25, Basic Card
appliedenergistics2:item.ItemMultiMaterial:52, Blank Pattern
appliedenergistics2:item.ItemMultiMaterial:23, Calculation Processor
appliedenergistics2:item.ItemMultiMaterial:13, Inscriber Calculation Press
appliedenergistics2:item.ItemMultiMaterial:16, Printed Calculation Circuit
appliedenergistics2:item.ItemMultiMaterial:27, Capacity Card
appliedenergistics2:item.ItemMultiMaterial:53, Crafting Card
appliedenergistics2:item.ItemMultiMaterial:29, Fuzzy Card
appliedenergistics2:item.ItemMultiMaterial:31, Inverter Card
appliedenergistics2:item.ItemMultiMaterial:26, Redstone Card
appliedenergistics2:item.ItemMultiMaterial:30, Acceleration Card
appliedenergistics2:item.ItemMultiMaterial:34, 128³ Spatial Component
appliedenergistics2:item.ItemMultiMaterial:33, 16³ Spatial Component
appliedenergistics2:item.ItemMultiMaterial:37, 16k ME Storage Component
appliedenergistics2:item.ItemMultiMaterial:35, 1k ME Storage Component
appliedenergistics2:item.ItemMultiMaterial:32, 2³ Spatial Component
appliedenergistics2:item.ItemMultiMaterial:36, 4k ME Storage Component
appliedenergistics2:item.ItemMultiMaterial:38, 64k ME Storage Component
appliedenergistics2:item.ItemMultiMaterial:0, Certus Quartz Crystal
appliedenergistics2:item.ItemMultiMaterial:1, Charged Certus Quartz Crystal
appliedenergistics2:item.ItemMultiMaterial:2, Certus Quartz Dust
appliedenergistics2:item.ItemMultiMaterial:39, ME Storage Housing
appliedenergistics2:item.ItemMultiMaterial:24, Engineering Processor
appliedenergistics2:item.ItemMultiMaterial:14, Inscriber Engineering Press
appliedenergistics2:item.ItemMultiMaterial:17, Printed Engineering Circuit
appliedenergistics2:item.ItemMultiMaterial:4, Flour
appliedenergistics2:item.ItemMultiMaterial:7, Fluix Crystal
appliedenergistics2:item.ItemMultiMaterial:8, Fluix Dust
appliedenergistics2:item.ItemMultiMaterial:9, Fluix Pearl
appliedenergistics2:item.ItemMultiMaterial:43, Formation Core
appliedenergistics2:item.ItemMultiMaterial:22, Logic Processor
appliedenergistics2:item.ItemMultiMaterial:15, Inscriber Logic Press
appliedenergistics2:item.ItemMultiMaterial:18, Printed Logic Circuit
appliedenergistics2:item.ItemMultiMaterial:6, Matter Ball
appliedenergistics2:item.ItemMultiMaterial:21, Inscriber Name Press
appliedenergistics2:item.ItemMultiMaterial:3, Nether Quartz Dust
appliedenergistics2:item.ItemMultiMaterial:10, Pure Certus Quartz Crystal
appliedenergistics2:item.ItemMultiMaterial:12, Pure Fluix Crystal
appliedenergistics2:item.ItemMultiMaterial:11, Pure Nether Quartz Crystal
appliedenergistics2:item.ItemMultiMaterial:48, Quantum Entangled Singularity
appliedenergistics2:item.ItemMultiMaterial:19, Inscriber Silicon Press
appliedenergistics2:item.ItemMultiMaterial:20, Printed Silicon
appliedenergistics2:item.ItemMultiMaterial:47, Singularity
appliedenergistics2:item.ItemMultiMaterial:45, Sky Stone Dust
appliedenergistics2:item.ItemMultiMaterial:41, Wireless Receiver
appliedenergistics2:item.ItemMultiMaterial:42, Wireless Booster
appliedenergistics2:item.ItemMultiPart:300, ME Annihilation Plane
appliedenergistics2:item.ItemMultiPart:120, Cable Anchor
appliedenergistics2:item.ItemMultiPart:20, ME Covered Cable - White
appliedenergistics2:item.ItemMultiPart:21, ME Covered Cable - Orange
appliedenergistics2:item.ItemMultiPart:22, ME Covered Cable - Magenta
appliedenergistics2:item.ItemMultiPart:23, ME Covered Cable - Light Blue
appliedenergistics2:item.ItemMultiPart:24, ME Covered Cable - Yellow
appliedenergistics2:item.ItemMultiPart:25, ME Covered Cable - Lime
appliedenergistics2:item.ItemMultiPart:26, ME Covered Cable - Pink
appliedenergistics2:item.ItemMultiPart:27, ME Covered Cable - Gray
appliedenergistics2:item.ItemMultiPart:28, ME Covered Cable - Light Gray
appliedenergistics2:item.ItemMultiPart:29, ME Covered Cable - Cyan
appliedenergistics2:item.ItemMultiPart:30, ME Covered Cable - Purple
appliedenergistics2:item.ItemMultiPart:31, ME Covered Cable - Blue
appliedenergistics2:item.ItemMultiPart:32, ME Covered Cable - Brown
appliedenergistics2:item.ItemMultiPart:33, ME Covered Cable - Green
appliedenergistics2:item.ItemMultiPart:34, ME Covered Cable - Red
appliedenergistics2:item.ItemMultiPart:35, ME Covered Cable - Black
appliedenergistics2:item.ItemMultiPart:36, ME Covered Cable - Fluix
appliedenergistics2:item.ItemMultiPart:0, ME Glass Cable - White
appliedenergistics2:item.ItemMultiPart:1, ME Glass Cable - Orange
appliedenergistics2:item.ItemMultiPart:2, ME Glass Cable - Magenta
appliedenergistics2:item.ItemMultiPart:3, ME Glass Cable - Light Blue
appliedenergistics2:item.ItemMultiPart:4, ME Glass Cable - Yellow
appliedenergistics2:item.ItemMultiPart:5, ME Glass Cable - Lime
appliedenergistics2:item.ItemMultiPart:6, ME Glass Cable - Pink
appliedenergistics2:item.ItemMultiPart:7, ME Glass Cable - Gray
appliedenergistics2:item.ItemMultiPart:8, ME Glass Cable - Light Gray
appliedenergistics2:item.ItemMultiPart:9, ME Glass Cable - Cyan
appliedenergistics2:item.ItemMultiPart:10, ME Glass Cable - Purple
appliedenergistics2:item.ItemMultiPart:11, ME Glass Cable - Blue
appliedenergistics2:item.ItemMultiPart:12, ME Glass Cable - Brown
appliedenergistics2:item.ItemMultiPart:13, ME Glass Cable - Green
appliedenergistics2:item.ItemMultiPart:14, ME Glass Cable - Red
appliedenergistics2:item.ItemMultiPart:15, ME Glass Cable - Black
appliedenergistics2:item.ItemMultiPart:16, ME Glass Cable - Fluix
appliedenergistics2:item.ItemMultiPart:420, ME Conversion Monitor
appliedenergistics2:item.ItemMultiPart:360, ME Crafting Terminal
appliedenergistics2:item.ItemMultiPart:200, Dark Illuminated Panel
appliedenergistics2:item.ItemMultiPart:260, ME Export Bus
appliedenergistics2:item.ItemMultiPart:320, ME Formation Plane
appliedenergistics2:item.ItemMultiPart:301, ME Identity Annihilation Plane
appliedenergistics2:item.ItemMultiPart:240, ME Import Bus
appliedenergistics2:item.ItemMultiPart:440, ME Interface
appliedenergistics2:item.ItemMultiPart:480, ME Interface Terminal
appliedenergistics2:item.ItemMultiPart:100, ME Inverted Toggle Bus
appliedenergistics2:item.ItemMultiPart:280, ME Level Emitter
appliedenergistics2:item.ItemMultiPart:160, Bright Illuminated Panel
appliedenergistics2:item.ItemMultiPart:465, P2P Tunnel - EU
appliedenergistics2:item.ItemMultiPart:462, P2P Tunnel - Item
appliedenergistics2:item.ItemMultiPart:467, P2P Tunnel - Light
appliedenergistics2:item.ItemMultiPart:463, P2P Tunnel - Fluid
appliedenergistics2:item.ItemMultiPart:460, P2P Tunnel - ME
appliedenergistics2:item.ItemMultiPart:468, P2P Tunnel - OpenComputers
appliedenergistics2:item.ItemMultiPart:466, P2P Tunnel - RF
appliedenergistics2:item.ItemMultiPart:461, P2P Tunnel - Redstone
appliedenergistics2:item.ItemMultiPart:340, ME Pattern Terminal
appliedenergistics2:item.ItemMultiPart:140, Quartz Fiber
appliedenergistics2:item.ItemMultiPart:180, Illuminated Panel
appliedenergistics2:item.ItemMultiPart:220, ME Storage Bus
appliedenergistics2:item.ItemMultiPart:400, ME Storage Monitor
appliedenergistics2:item.ItemMultiPart:380, ME Terminal
appliedenergistics2:item.ItemMultiPart:80, ME Toggle Bus
ae2stuff:WirelessKit, Wireless Setup Kit
ae2stuff:Visualiser, Network Visualisation Tool
AgriCraft:seedPotato, Potato Seeds
AgriCraft:seedCarrot, Carrot Seeds
AgriCraft:seedSugarcane, Sugarcane Seeds
AgriCraft:seedDandelion, Dandelion Seeds
AgriCraft:seedPoppy, Poppy Seeds
AgriCraft:seedOrchid, Blue Orchid Seeds
AgriCraft:seedAllium, Allium Seeds
AgriCraft:seedTulipRed, Red Tulip Seeds
AgriCraft:seedTulipOrange, Orange Tulip Seeds
AgriCraft:seedTulipWhite, White Tulip Seeds
AgriCraft:seedTulipPink, Pink Tulip Seeds
AgriCraft:seedDaisy, Daisy Seeds
AgriCraft:seedCactus, Cactus Seeds
AgriCraft:seedShroomRed, Red Mushroom Spores
AgriCraft:seedShroomBrown, Brown Mushroom Spores
AgriCraft:cropsItem, Crop Sticks
AgriCraft:journal, Agricultural Journal
AgriCraft:magnifyingGlass, Magnifying Glass
AgriCraft:debugger, Debugger
AgriCraft:trowel, Gardening Trowel
AgriCraft:handRake:0, Wooden Hand Rake
AgriCraft:handRake:1, Iron Hand Rake
AgriCraft:clipper, Clipper
AgriCraft:clipping, Clipping
Backpack:backpack:0, Backpack
Backpack:backpack:1, Black Backpack
Backpack:backpack:2, Red Backpack
Backpack:backpack:3, Green Backpack
Backpack:backpack:4, Brown Backpack
Backpack:backpack:5, Blue Backpack
Backpack:backpack:6, Purple Backpack
Backpack:backpack:7, Cyan Backpack
Backpack:backpack:8, Light Gray Backpack
Backpack:backpack:9, Gray Backpack
Backpack:backpack:10, Pink Backpack
Backpack:backpack:11, Lime Backpack
Backpack:backpack:12, Yellow Backpack
Backpack:backpack:13, Light Blue Backpack
Backpack:backpack:14, Magenta Backpack
Backpack:backpack:15, Orange Backpack
Backpack:backpack:16, White Backpack
Backpack:backpack:100, Middle Backpack
Backpack:backpack:101, Middle Black Backpack
Backpack:backpack:102, Middle Red Backpack
Backpack:backpack:103, Middle Green Backpack
Backpack:backpack:104, Middle Brown Backpack
Backpack:backpack:105, Middle Blue Backpack
Backpack:backpack:106, Middle Purple Backpack
Backpack:backpack:107, Middle Cyan Backpack
Backpack:backpack:108, Middle Light Gray Backpack
Backpack:backpack:109, Middle Gray Backpack
Backpack:backpack:110, Middle Pink Backpack
Backpack:backpack:111, Middle Lime Backpack
Backpack:backpack:112, Middle Yellow Backpack
Backpack:backpack:113, Middle Light Blue Backpack
Backpack:backpack:114, Middle Magenta Backpack
Backpack:backpack:115, Middle Orange Backpack
Backpack:backpack:116, Middle White Backpack
Backpack:backpack:200, Big Backpack
Backpack:backpack:201, Big Black Backpack
Backpack:backpack:202, Big Red Backpack
Backpack:backpack:203, Big Green Backpack
Backpack:backpack:204, Big Brown Backpack
Backpack:backpack:205, Big Blue Backpack
Backpack:backpack:206, Big Purple Backpack
Backpack:backpack:207, Big Cyan Backpack
Backpack:backpack:208, Big Light Gray Backpack
Backpack:backpack:209, Big Gray Backpack
Backpack:backpack:210, Big Pink Backpack
Backpack:backpack:211, Big Lime Backpack
Backpack:backpack:212, Big Yellow Backpack
Backpack:backpack:213, Big Light Blue Backpack
Backpack:backpack:214, Big Magenta Backpack
Backpack:backpack:215, Big Orange Backpack
Backpack:backpack:216, Big White Backpack
Backpack:backpack:31999, Ender Backpack
Backpack:workbenchbackpack:17, Workbench Backpack
Backpack:workbenchbackpack:217, Big Workbench Backpack
Backpack:boundLeather, Bound Leather
Backpack:tannedLeather, Tanned Leather
Baubles:Ring:0, Miner's Ring
Thaumcraft:WandCasting:0, Iron Capped Wooden Wand
Thaumcraft:WandCasting:9, Gold Banded Greatwood Wand
Thaumcraft:WandCasting:54, Thaumium Bossed Silverwood Wand
Thaumcraft:WandCasting:128, Thaumium Bossed Silverwood Scepter
Thaumcraft:WandCap:0, Iron Cap
Thaumcraft:WandCap:1, Gold Cap
Thaumcraft:WandCap:2, Charged Thaumium Cap
Thaumcraft:WandCap:6, Inert Thaumium Cap
Thaumcraft:WandCap:7, Charged Void metal Cap
Thaumcraft:WandCap:8, Inert Void metal Cap
Thaumcraft:WandRod:0, Greatwood Rod
Thaumcraft:WandRod:1, Obsidian Rod
Thaumcraft:WandRod:2, Silverwood Rod
Thaumcraft:WandRod:3, Icy Rod
Thaumcraft:WandRod:4, Quartz Rod
Thaumcraft:WandRod:5, Reed Rod
Thaumcraft:WandRod:6, Blazing Rod
Thaumcraft:WandRod:7, Bone Rod
Thaumcraft:WandRod:50, Greatwood Staff Core
Thaumcraft:WandRod:51, Obsidian Staff Core
Thaumcraft:WandRod:52, Silverwood Staff Core
Thaumcraft:WandRod:53, Icy Staff Core
Thaumcraft:WandRod:54, Quartz Staff Core
Thaumcraft:WandRod:55, Reed Staff Core
Thaumcraft:WandRod:56, Blazing Staff Core
Thaumcraft:WandRod:57, Bone Staff Core
Thaumcraft:WandRod:100, Staff Core of the Primal
Thaumcraft:FocusPouch, Focus Pouch
Thaumcraft:FocusFire, Wand Focus: Fire
Thaumcraft:FocusShock, Wand Focus: Shock
Thaumcraft:FocusHellbat, Wand Focus: Nine Hells
Thaumcraft:FocusFrost, Wand Focus: Frost
Thaumcraft:FocusTrade, Wand Focus: Equal Trade 
Thaumcraft:FocusExcavation, Wand Focus: Excavation
Thaumcraft:FocusPortableHole, Wand Focus: Portable Hole
Thaumcraft:FocusPech, Wand Focus: Pech's Curse
Thaumcraft:FocusWarding, Wand Focus: Warding
Thaumcraft:FocusPrimal, Wand Focus: Primal
Thaumcraft:ItemEssence:0, Glass Phial
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
Thaumcraft:ItemEssence:1, Phial of Essentia
